Impact Category;Fine particulate matter formation ;Fossil resource scarcity ;Freshwater ecotoxicity;Freshwater eutrophication ;Global warming;Human carcinogenic toxicity ;Human non-carcinogenic toxicity -;Ionizing radiation ;Land use ;Marine ecotoxicity ;Marine eutrophication ;Mineral resource scarcity ;Ozone formation, Human health ;Ozone formation, Terrestrial ecosystems ;Stratospheric ozone depletion ;Terrestrial acidification ;Terrestrial ecotoxicity ;Water consumption 
Unit;kg PM2.5 eq;kg oil eq;kg 1,4-DCB;kg P eq;kg CO2 eq;kg 1,4-DCB;kg 1,4-DCB;kBq Co-60 eq;m2a crop eq;kg 1,4-DCB;kg N eq;kg Cu eq;kg NOx eq;kg NOx eq;kg CFC11 eq;kg SO2 eq;kg 1,4-DCB;m3
Unit Production [1 Unit];11.21579486;1268.095364;342.3738843;2.190104631;6113.619581;3915.286005;3973.728291;0.031441376;239.5338951;729.5643064;0.210978848;1.676457313;14.44320696;14.79956269;0.001481361;25.63422366;256842.3717;19861.32602
Chemical Produciton [1 L];0.003417091;2.558328335;0.137247592;0.000642912;3.168991768;0.596068999;7947.456583;0.24730546;0.062882752;3.352914626;0.000110099;29.59912537;0.014300386;0.019934134;684.7477685;0.0085417;35.68694847;9.003274929
Maintenance [1 year of maintenance];0.001708545;1.279164167;0.068623796;0.000321456;1.584495884;0.2980345;3973.728291;0.12365273;0.031441376;1.676457313;5.50497E-05;14.79956269;0.007150193;0.009967067;342.3738843;0.00427085;17.84347424;4.501637465

