Impact Category;Fine particulate matter formation ;Fossil resource scarcity ;Freshwater ecotoxicity;Freshwater eutrophication ;Global warming;Human carcinogenic toxicity ;Human non-carcinogenic toxicity -;Ionizing radiation ;Land use ;Marine ecotoxicity ;Marine eutrophication ;Mineral resource scarcity ;Ozone formation, Human health ;Ozone formation, Terrestrial ecosystems ;Stratospheric ozone depletion ;Terrestrial acidification ;Terrestrial ecotoxicity ;Water consumption 
Unit;kg PM2.5 eq;kg oil eq;kg 1,4-DCB;kg P eq;kg CO2 eq;kg 1,4-DCB;kg 1,4-DCB;kBq Co-60 eq;m2a crop eq;kg 1,4-DCB;kg N eq;kg Cu eq;kg NOx eq;kg NOx eq;kg CFC11 eq;kg SO2 eq;kg 1,4-DCB;m3
Germany;0.0007497;1.0041741;0.0075666;4.39E-05;0.8430977;0.112991;0.1019128;0.0174554;0.0076939;0.018809;2.84E-05;0.0001429;0.0021806;0.0028022;1.96E-07;0.0020242;7.7727752;0.660353
Poland;0.00089964;1.20500892;0.00907992;0.000052704;1.01171724;0.1355892;0.12229536;0.02094648;0.00923268;0.0225708;0.000034044;0.00017148;0.00261672;0.00336264;2.3544E-07;0.00242904;9.32733024;0.7924236
Sweden;0.00059976;0.80333928;0.00605328;0.000035136;0.67447816;0.0903928;0.08153024;0.01396432;0.00615512;0.0150472;0.000022696;0.00011432;0.00174448;0.00224176;1.5696E-07;0.00161936;6.21822016;0.5282824
Lithuania;0.00112455;1.50626115;0.0113499;0.00006588;1.26464655;0.1694865;0.1528692;0.0261831;0.01154085;0.0282135;0.000042555;0.00021435;0.0032709;0.0042033;2.943E-07;0.0030363;11.6591628;0.9905295
Renewable;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0

