Impact Category;Fine particulate matter formation ;Fossil resource scarcity ;Freshwater ecotoxicity;Freshwater eutrophication ;Global warming;Human carcinogenic toxicity ;Human non-carcinogenic toxicity -;Ionizing radiation ;Land use ;Marine ecotoxicity ;Marine eutrophication ;Mineral resource scarcity ;Ozone formation, Human health ;Ozone formation, Terrestrial ecosystems ;Stratospheric ozone depletion ;Terrestrial acidification ;Terrestrial ecotoxicity ;Water consumption 
Unit;kg PM2.5 eq;kg oil eq;kg 1,4-DCB;kg P eq;kg CO2 eq;kg 1,4-DCB;kg 1,4-DCB;kBq Co-60 eq;m2a crop eq;kg 1,4-DCB;kg N eq;kg Cu eq;kg NOx eq;kg NOx eq;kg CFC11 eq;kg SO2 eq;kg 1,4-DCB;m3
Engine Production [1 Unit];4.95782365;496.0161799;364.7030844;0.724523597;2327.138498;11649.48191;2178.950037;124.2207072;61.10906666;718.4347548;0.111660776;1.15292796;5.135741407;5.312283746;0.000521516;6.952500261;217008.8689;21289.12949
Oxygen Production[1m^3];0.000749726;1.004174075;0.007566556;4.39154E-05;0.843097651;0.112991001;0.101912795;0.017455398;0.007693882;0.018809023;2.8369E-05;0.000142949;0.002180608;0.002802164;1.96208E-07;0.002024222;7.772775207;0.660353048
Oil Production [1L oil];0.001708545;1.279164167;0.068623796;0.000321456;1.584495884;0.2980345;0.935503341;0.12365273;0.031441376;0.106392954;5.50497E-05;0.001251273;0.007150193;0.009967067;3.94999E-07;0.00427085;17.84347424;4.501637465
Coolant Production [1 Liter];0.001708545;1.279164167;0.068623796;0.000321456;1.584495884;0.2980345;0.935503341;0.12365273;0.031441376;0.106392954;5.50497E-05;0.001251273;0.007150193;0.009967067;3.94999E-07;0.00427085;17.84347424;4.501637465
Maintenance [1 year of maintenance];11.21579486;1268.095364;342.3738843;2.190104631;6113.619581;3915.286005;3973.728291;335.086181;239.5338951;729.5643064;0.210978848;1.676457313;14.44320696;14.79956269;0.001481361;25.63422366;256842.3717;19861.32602
